,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
0,abandon,7,8,8.32,0.4869995654544442,0.18658496794643117,0.4869995654544442,0.21893122957556696,2.54,2.84,8.1,53.0,0
1,abandonment,11,12,10.27,0.03854319152872969,0.058244558640805265,0.11210461337992714,0.06176817003811119,2.54,2.63,0.96,87.0,1
2,abdomen,7,8,8.61,0.4680412251660116,0.041953214959847135,0.4680412251660116,0.05650458048751354,4.7,5.43,3.35,58.0,0
3,abduct,6,7,11.26,0.42717283519952864,0.12454362703618051,0.4915345078700768,0.18089670022051377,2.88,2.42,0.71,46.0,1
4,abduction,9,8,11.94,0.6055071189413577,0.12339623722296811,0.6055071189413577,0.17233998549750917,3.07,2.05,3.63,47.0,1
5,abide,5,5,9.5,0.47438477204336504,0.2309980009174276,0.35058453891147656,0.21591199874685413,1.68,5.52,2.71,34.0,0
6,abiding,7,7,10.3,0.13170292195393093,0.049192939233624194,0.08489193261090994,0.06648757566529784,2.07,5.57,0.49,38.0,0
7,abject,6,7,14.0,0.40406345850542125,0.06708168377844426,0.40406345850542125,0.03325272720382536,1.67,4.0,0.39,45.0,0
8,ablaze,6,6,10.83,0.11399187976508972,0.11561501358980154,0.1145444005619153,0.0766100272218248,3.82,5.15,0.41,43.0,1
9,able,4,4,7.79,0.1567082235467777,0.07188159706291707,0.43939566466036056,0.06492543243065921,2.38,6.64,159.9,29.0,0
10,abnormal,8,7,10.05,0.47762145361753333,0.08755352716365118,0.06804792280001318,0.09019325756588945,2.14,3.53,2.9,61.0,1
11,abnormality,11,12,11.58,0.03795390540489557,0.10532852257253844,0.6830572056423364,0.11608856535519116,2.48,3.05,0.51,70.0,1
12,abode,5,5,12.06,0.05068479690714905,0.05211324687950846,0.23852857245945577,0.13370419425018526,3.92,5.28,0.65,36.0,0
13,abolish,7,7,10.42,0.6190951121203693,0.032565994163692255,0.6190951121203693,0.0324395191071917,2.19,3.84,0.47,56.0,0
14,abominable,10,10,8.94,0.07535612527522814,0.07389741500862726,0.08240424388061089,0.03520401343434145,1.89,4.05,0.63,67.0,1
15,abort,5,5,12.21,0.3300356875414912,0.04987508700423587,0.5964714728321416,0.12811433885204254,2.83,3.1,4.61,38.0,0
16,abortion,8,6,13.21,0.7222285011836698,0.1489234572605125,0.7222285011836698,0.09277727094941458,3.41,2.58,7.24,50.0,1
17,abracadabra,11,13,6.89,0.07082273433423861,0.015367838812579677,0.07089140574466864,0.013745813684726872,2.04,5.11,1.04,118.0,0
18,abreast,7,7,13.06,0.07951251904793273,0.029031870574832815,0.056056224254149994,0.03232873896298121,2.23,4.62,0.51,51.0,0
19,abrupt,6,7,10.95,0.4493523932089435,0.07635620022615541,0.48503860465508236,0.07365853370576038,2.27,3.28,1.14,53.0,0
20,abscess,7,6,13.11,0.624583149879275,0.13492517187963543,0.7056708761591799,0.064418503343767,4.48,2.79,0.49,54.0,0
21,absence,7,7,7.7,0.5983774830541572,0.22158104429547198,0.5983774830541572,0.036004003794713,2.31,3.86,6.31,54.0,0
22,absolute,8,8,8.53,0.39288488197265503,0.13083569294990519,0.39310612005949425,0.061723204620034014,1.81,5.43,11.31,53.0,0
23,absolve,7,7,12.9,0.4513918381204564,0.20756499299822456,0.5397100460863828,0.2609111442037574,1.85,4.58,0.57,50.0,1
24,absorb,6,6,8.83,0.5110844610112174,0.16934362914953446,0.532769856845311,0.19179356690814467,3.11,5.5,1.98,52.0,1
25,abstain,7,7,12.95,0.5611769554142162,0.14053023358606648,0.5611769554142162,0.16756694887720797,2.38,4.4,0.51,52.0,0
26,absurd,6,6,10.5,0.4301910666003387,0.08439590775407409,0.4301910666003387,0.08460341550679737,1.64,4.45,9.71,53.0,0
27,absurdity,9,9,13.21,0.21923825059165886,0.047938912491189846,0.4104516730658931,0.12890609042711484,1.25,4.06,0.63,75.0,1
28,abyss,5,5,11.0,0.1232239524237652,0.05430943377866923,0.48829388948959984,0.06204703753795418,3.07,3.9,1.76,42.0,0
29,academic,8,10,9.74,0.45025578716817066,0.18072824845440996,0.45025578716817066,0.1206540247049539,2.11,6.61,4.67,54.0,1
30,academy,7,8,9.05,0.04364057333397749,0.04799455448527973,0.37525356321726594,0.0403450178112916,4.29,5.32,12.41,56.0,1
31,accept,6,7,6.74,0.5139536488449583,0.1132537636284207,0.5586251019653384,0.19682976174131733,3.03,6.39,52.78,44.0,0
