word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
aids,4,4,8.89,0.21112810823068742,0.10307402465166478,0.2794652555535818,0.09584343188752152,3.44,1.33,1.06,21.0,0.5910520153635705,0
quiet,5,6,4.15,0.02274488590095786,0.05272773112909964,0.02241549231622544,0.06277539555758811,2.76,6.47,117.22,34.0,0.4719500646172152,0
wait,4,4,4.3,0.1694410380500652,0.1258755074494868,0.16986889816613512,0.11049934407506279,2.68,4.55,830.25,20.0,0.37328015310737894,0
stagger,7,7,9.56,0.35478068641340815,0.09981659436421869,0.19410806197963532,0.12905931212562446,3.57,3.42,0.59,37.0,0.6004748335694561,0
infatuated,10,12,12.52,0.1850218024368277,0.0467860141319748,0.2597919590038981,0.03530536015716922,1.7,6.0,0.73,70.0,0.5110179694711088,0
toll,4,4,8.37,0.19386524906647556,0.1570262313819148,0.2935546978971921,0.16314678064531032,3.54,3.53,3.35,20.0,0.6860023236594046,0
spawn,5,5,11.25,0.04122511369741482,0.07739374361576927,0.04122511369741482,0.07733057911284741,3.9,4.85,1.82,33.0,0.6189142704833541,0
distinguishing,14,13,11.58,0.17084780094708335,0.033921955889834494,0.20074765638049025,0.051245044776554255,1.75,5.37,0.55,98.0,0.6156787381626185,0
extent,6,8,10.72,0.07016716909483772,0.07685928867878503,0.13020082342422704,0.04013089895524837,1.44,5.57,4.06,38.0,0.6389420232452083,1
marginal,8,7,12.0,0.24891110584025214,0.08920934770203227,0.3311932911253958,0.10244531754747452,1.92,4.6,0.55,49.0,0.6831013449840914,1
buyer,5,5,6.94,0.10148497140199363,0.050177517605283356,0.12420798010093032,0.11126853242405921,4.36,5.9,5.18,38.0,0.5226679910407394,1
skillet,7,7,8.2,0.31114894424782924,0.08697454852576889,0.31114894424782924,0.12108870993851478,4.73,5.85,1.22,41.0,0.4056759209265075,0
intrigue,8,7,10.68,0.07152946150018491,0.017735368638917906,0.035227760366124905,0.022847428606848155,2.0,6.05,1.51,63.0,0.5749916473676564,0
jolly,5,5,6.594712000000001,0.1627381976164553,0.12711125026384684,0.19738103074677862,0.11328304670826429,2.34,7.47,7.49,30.0,0.5782089979915197,0
superficial,11,10,12.83,0.056288819759501466,0.018586576016568823,0.0393213967586883,0.01908569780521553,1.85,3.79,2.9,82.0,0.6116073438223385,1
sassafras,9,9,10.53,0.2302374474897218,0.05067464256475697,0.2292338406753997,0.0617682929394948,4.19,5.48,0.63,79.0,0.4314634827381984,0
criticism,9,11,10.2,0.2681329582863783,0.09348056125011986,0.2681329582863783,0.10616955205487072,2.07,3.84,3.04,57.0,0.5727470277689019,1
rehabilitate,12,12,12.89,0.23427189000338478,0.060209905826363784,0.2538464414689923,0.044948852277441984,1.76,6.32,0.41,88.0,0.6080041914668474,1
villa,5,5,10.5,0.15222190457952586,0.09664432044043086,0.15335669540238447,0.10482026183057372,4.79,6.44,4.39,35.0,0.578129390983218,0
physique,8,6,11.89,0.13215858841550057,0.053809158163709306,0.1708738391715035,0.07183470051307736,3.65,5.74,0.65,73.0,0.5545030515528481,0
chic,4,4,9.53,0.02693815260200434,0.051740654108089264,0.05608041967768648,0.09292294150223919,2.26,6.47,2.33,26.0,0.5266587935619262,0
fill,4,4,5.06,0.3828899018300667,0.314786943344392,0.2676654743087339,0.28886195260836395,3.32,5.56,43.94,20.0,0.574288450894406,0
chorus,6,6,7.5,0.04396819084504231,0.052097329115860645,0.04396819084504231,0.05149969614908296,4.03,6.0,6.08,38.0,0.5080198378451695,0
brash,5,5,11.47,0.07174260270270506,0.07114612152871823,0.08262400893483446,0.06542601007840403,2.46,4.38,0.41,32.0,0.5740077220771089,0
insulin,7,9,11.32,0.02804476747727129,0.04206946911345418,0.09783603915201353,0.026516036330567667,4.37,4.52,2.1,55.0,0.5421315244861272,0
juggle,6,5,6.39,0.14151482532566828,0.09668802503093686,0.1618708308994062,0.08894621063791959,4.04,5.84,1.45,35.0,0.6200369958160677,0
key,3,3,3.58,0.3008751796191482,0.12848261454796756,0.46778167344500227,0.2815913492765127,4.89,6.22,86.86,24.0,0.5525353144128408,0
distrust,8,9,10.1,0.19723636519229873,0.0557065493186719,0.19723636519229873,0.05778047350996582,1.44,2.95,0.75,51.0,0.4962649606272909,1
