word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
gavel,5,5,9.22,0.12858705880781615,0.05045749022742084,0.15073328545913617,0.052190522526707875,4.88,4.3,0.76,34.0,0.6286084137051723,0
feign,5,4,13.93,0.5156700623287729,0.043605757561605576,0.28603616764653755,0.16285526801876463,2.11,4.45,0.45,37.0,0.5103128892356443,0
flawless,8,7,9.33,0.128428876161419,0.04677578990516103,0.07543441923004326,0.0396282773852945,2.52,7.05,1.57,53.0,0.5721008718670372,1
catch,5,4,4.61,0.5327692565277071,0.10096060494251773,0.5376440096758796,0.09947362549470437,4.11,5.64,135.51,30.0,0.47799420608517024,0
disagree,8,9,8.37,0.4073777293867067,0.03332615276542219,0.40737772938670674,0.07425739778312347,2.77,2.84,6.63,56.0,0.5756796741545204,1
restore,7,7,10.78,0.43229353737488807,0.041446489484993576,0.02609784796430783,0.05437665554639847,2.79,5.86,4.96,42.0,0.49964852397194165,0
suitable,8,7,9.78,0.504013980639582,0.043936279723090596,0.03417358654287658,0.038087347531290096,1.93,5.7,4.84,52.0,0.6197607404755779,1
wolf,4,5,4.5,0.40224005556452797,0.08025826153061892,0.2348809764342517,0.09169708426360672,4.79,6.26,20.27,35.0,0.5392773143499912,0
successor,9,9,12.24,0.5424972409583413,0.054435957221218294,0.19652552564037543,0.04914094982337721,3.29,6.11,1.67,63.0,0.5879437486606929,0
excited,7,8,6.21,0.4570064131155421,0.05198968384297625,0.15748655865969471,0.062441218992475525,2.32,8.11,48.61,36.0,0.47724236439824336,0
czar,4,4,11.71,0.3612322061089326,0.05826188652387375,0.08063567667619394,0.05944159588145959,4.14,4.53,0.69,35.0,0.5579898842695262,0
bottom,6,6,5.28,0.36285757476100855,0.05076447940339007,0.3051292745456349,0.07935983000408267,4.25,3.61,49.92,42.0,0.5607247582147625,0
quibble,7,6,11.86,0.07380184058713907,0.031484367518707236,0.05501856193576836,0.04714987615344242,2.29,4.05,0.59,47.0,0.6704893906853219,0
selfish,7,7,5.26,0.4734248283805149,0.061396326792418375,0.44686373676289415,0.05712436475494297,1.92,3.3,15.9,50.0,0.4968548725453553,1
signify,7,8,11.89,0.08520976462432306,0.06156613095855518,0.5324951086403497,0.032834294835022836,1.73,5.16,0.63,54.0,0.6110087202340633,1
gown,4,4,6.16,0.3996328036331479,0.05690510007623306,0.3996328036331479,0.0625671275307148,4.61,6.0,6.55,30.0,0.4674475880815193,0
enchanted,9,9,6.95,0.25842455097408423,0.03509810322727868,0.25842455097408423,0.05195148792306504,2.07,7.16,2.76,53.0,0.5367697217315622,0
late,4,4,5.28,0.14757926880071265,0.08462695516572342,0.11084013024979653,0.08805727652461934,2.6,3.32,269.73,20.0,0.4354924845046864,0
