word,length,n_phon,aoa,OSC_te,OSC_ld,PSC_te,PSC_ld,concr,val,freq,old20,snd,morph
aids,4,4,8.89,0.055536048229943055,0.042894747236736294,0.11015473003631757,0.039471324751464275,3.44,1.33,1.06,21.0,0.5910520153635705,0
quiet,5,6,4.15,0.5444024259824328,0.09808857486302612,0.5470553284482295,0.10432504688525121,2.76,6.47,117.22,34.0,0.4719500646172152,0
wait,4,4,4.3,0.5670356627117948,0.16969222563095407,0.5625414948772618,0.20435530429956544,2.68,4.55,830.25,20.0,0.37328015310737894,0
stagger,7,7,9.56,0.27476329788154263,0.0710420734073901,0.17834960448393672,0.08293048207591527,3.57,3.42,0.59,37.0,0.6004748335694561,0
infatuated,10,12,12.52,0.09002829408100967,0.04244464218509909,0.09811990088278966,0.0351296239456212,1.7,6.0,0.73,70.0,0.5110179694711088,0
toll,4,4,8.37,0.22918837081896726,0.08761329752203503,0.0778275424386625,0.07490991385325833,3.54,3.53,3.35,20.0,0.6860023236594046,0
spawn,5,5,11.25,0.4536556304554298,0.061507134955417715,0.4536556304554298,0.05504331045803247,3.9,4.85,1.82,33.0,0.6189142704833541,0
distinguishing,14,13,11.58,0.04075313656639279,0.02743079393087876,0.03393835908708486,0.04206183509229971,1.75,5.37,0.55,98.0,0.6156787381626185,0
extent,6,8,10.72,0.10947675768495038,0.05992821328577788,0.041731488905802964,0.03374303601317669,1.44,5.57,4.06,38.0,0.6389420232452083,1
marginal,8,7,12.0,0.2515720915213365,0.021883059802508983,0.03396137839291791,0.02635369775327739,1.92,4.6,0.55,49.0,0.6831013449840914,1
buyer,5,5,6.94,0.6392293515459982,0.05190929486834782,0.11600576550942193,0.11009026056055163,4.36,5.9,5.18,38.0,0.5226679910407394,1
skillet,7,7,8.2,0.4864509036728701,0.06038386301685687,0.4864509036728701,0.1010132892701124,4.73,5.85,1.22,41.0,0.4056759209265075,0
intrigue,8,7,10.68,0.3580136627191659,0.03209712761858854,0.3972062498121381,0.062245916713595084,2.0,6.05,1.51,63.0,0.5749916473676564,0
jolly,5,5,6.594712000000001,0.11091800038490285,0.08875651299588945,0.25828033261064887,0.08307572594731845,2.34,7.47,7.49,30.0,0.5782089979915197,0
superficial,11,10,12.83,0.35954742623205205,0.025819248479128268,0.10715091053893716,0.035805994365168736,1.85,3.79,2.9,82.0,0.6116073438223385,1
sassafras,9,9,10.53,0.09280746918802343,0.039446579444483744,0.16645542200953392,0.04416731045977638,4.19,5.48,0.63,79.0,0.4314634827381984,0
criticism,9,11,10.2,0.6821012987402646,0.08599282583930072,0.6821012987402646,0.09053976605263746,2.07,3.84,3.04,57.0,0.5727470277689019,1
rehabilitate,12,12,12.89,0.492734249061706,0.05529895038890626,0.4936316462675439,0.02497837021467068,1.76,6.32,0.41,88.0,0.6080041914668474,1
villa,5,5,10.5,0.2628300183538213,0.0718647032219931,0.09777685090290766,0.046793973431126096,4.79,6.44,4.39,35.0,0.578129390983218,0
physique,8,6,11.89,0.08883472386293226,0.02509840980484042,0.0468175558810087,0.028006545877461115,3.65,5.74,0.65,73.0,0.5545030515528481,0
chic,4,4,9.53,0.17597442193431642,0.058369127570430716,0.24574235039833192,0.09859509192973831,2.26,6.47,2.33,26.0,0.5266587935619262,0
fill,4,4,5.06,0.5372037690846958,0.13787117721273537,0.21354724650895796,0.16328550452856225,3.32,5.56,43.94,20.0,0.574288450894406,0
chorus,6,6,7.5,0.589234910102824,0.09145952544319505,0.589234910102824,0.060690073019379676,4.03,6.0,6.08,38.0,0.5080198378451695,0
brash,5,5,11.47,0.09188582121442274,0.059637392944508406,0.13358059146308812,0.062358409052939226,2.46,4.38,0.41,32.0,0.5740077220771089,0
insulin,7,9,11.32,0.0725347666291489,0.029750447658833837,0.06020514500110265,0.021875041143123893,4.37,4.52,2.1,55.0,0.5421315244861272,0
juggle,6,5,6.39,0.30081799644055424,0.09831412483200946,0.41898656288090935,0.0647548643699714,4.04,5.84,1.45,35.0,0.6200369958160677,0
key,3,3,3.58,0.24867066342419722,0.046367400597479236,0.24247032500059515,0.12868572714811818,4.89,6.22,86.86,24.0,0.5525353144128408,0
distrust,8,9,10.1,0.41774918577795245,0.07482436929392257,0.41774918577795245,0.0838451082040068,1.44,2.95,0.75,51.0,0.4962649606272909,1
fiddle,6,5,8.28,0.33225275897992274,0.12200963450014464,0.3520598801390985,0.07225975683441063,4.81,5.05,3.63,29.0,0.4892800058187105,0
disorder,8,8,8.78,0.4366985029589352,0.05471804112419628,0.12886633997074295,0.02835511447406269,3.1,3.76,7.14,55.0,0.5431860735380973,1
fearsome,8,6,7.78,0.10652429880415155,0.0322151906056992,0.07545364415453179,0.04405373285477567,2.0,3.32,0.76,72.0,0.5819738003015336,1
culture,7,7,9.52,0.43817513412979436,0.0510675525282053,0.0727904790135455,0.07321349912742728,2.04,6.28,13.94,43.0,0.5641972939301035,0
huge,4,5,4.9,0.23651383477712679,0.05111853247943523,0.23651383477712679,0.04840357162201185,3.54,5.72,48.37,33.0,0.4414198430965682,0
evident,7,8,12.55,0.20604631430853296,0.03189562289421447,0.2068061033082077,0.0430918118155604,2.04,5.1,1.33,51.0,0.6062641312050594,0
roomy,5,5,7.58,0.10531486244130356,0.07043456446258997,0.18164860535352298,0.0637389893294979,2.83,6.6,0.39,35.0,0.5291788022086327,1
autopsy,7,7,11.71,0.15859366866221777,0.038746591923179384,0.6750487707602445,0.04803758048376181,4.29,2.62,9.59,58.0,0.5011255898842022,0
veteran,7,8,9.9,0.4760488441500899,0.038560172215710294,0.4760488441500899,0.03902371329427103,4.58,6.86,3.75,55.0,0.6249047829421798,0
bitchy,6,5,11.44,0.21690517873309756,0.13255558072679283,0.4122645707629982,0.10239052715282493,2.32,3.11,1.25,37.0,0.4933910502774032,1
stinker,7,8,4.33,0.46790128851151347,0.11122077650343125,0.08367678499534645,0.12422908894702839,2.81,3.3,2.06,35.0,0.511709367842697,1
exorcist,8,9,12.11,0.4009452084340055,0.11254707235164214,0.4009452084340055,0.028838925505474382,3.43,3.76,0.98,50.0,0.5704366693412597,1
coaster,7,7,7.89,0.5167133040174768,0.0583673574675561,0.12481071077799022,0.062461477408341314,4.68,5.48,3.12,34.0,0.6484334685510331,1
dry,3,4,4.11,0.3298971718032697,0.06075972102315877,0.14772879024012517,0.09401364858772467,3.77,4.86,42.82,26.0,0.5072712328404584,0
smash,5,5,4.65,0.5875885218397429,0.09420771331277175,0.5933433172030618,0.10552379474116644,3.79,4.68,8.25,34.0,0.5365743934345796,0
bookkeeper,10,10,9.15,0.43909514328849863,0.06903894451582968,0.044745250293792165,0.0704539851448651,4.64,5.58,1.27,69.0,0.5762516696208706,1
gifted,6,7,7.94,0.158296605058794,0.035461166473861674,0.09317045977958002,0.035612938536684166,1.85,6.62,4.49,37.0,0.5790540461362446,0
jig,3,4,8.7,0.23540538450743784,0.15054315777235472,0.2599052001366397,0.061824921229300854,3.85,4.95,1.71,20.0,0.5943452084189904,0
absolute,8,8,8.53,0.39288488197265503,0.0658644733901736,0.39310612005949425,0.02272903957193256,1.81,5.43,11.31,53.0,0.6041298814147791,0
stew,4,5,6.95,0.178444676069597,0.074367689074771,0.1911915686198885,0.07705340546444066,4.43,5.86,6.43,28.0,0.4550107308792602,0
rich,4,4,6.32,0.17983079148424233,0.06456939095661483,0.2774160545751979,0.1335168832320103,2.79,6.83,80.39,32.0,0.5003894721014897,0
slow,4,4,4.15,0.5385753060915267,0.08267744762972758,0.4793586880587944,0.20509086547848765,3.28,4.0,76.02,21.0,0.48608269674698834,0
adjective,9,8,8.6,0.6241872200219617,0.05697424043942992,0.6241872200219617,0.022825737689582383,2.43,5.95,0.49,55.0,0.44997885866882237,0
perspective,11,10,10.78,0.5787039125940985,0.04163798025035652,0.5787039125940985,0.05170233048809356,2.38,6.21,8.22,69.0,0.5833967715050137,1
sleeper,7,7,7.33,0.5489811023787319,0.07399120632229483,0.03956968545221552,0.061812156750281774,3.4,5.84,2.06,35.0,0.636744162027488,1
cardiac,7,7,11.74,0.4544166552733312,0.018360597801789467,0.06501147189417288,0.01975443161230508,2.81,3.73,3.96,55.0,0.4726265108943782,0
strings,7,7,5.74,0.34698989612614434,0.07153857746373138,0.13165142530231785,0.06446663903694125,4.75,5.28,8.2,36.0,0.586032937218568,0
know,4,3,4.5,0.5203911677902043,0.13750303492192326,0.4717026407591138,0.2890787335735686,1.68,6.82,5721.18,32.0,0.22443813807407847,0
zoning,6,6,11.84,0.058724889855693664,0.025249439828369493,0.02616321921779282,0.031182063590930186,2.45,4.65,1.2,38.0,0.6608542492693628,0
practice,8,8,6.24,0.4408236717685267,0.07470593528204186,0.43170008125703063,0.042934899179037186,2.52,5.72,45.69,49.0,0.6170525294802461,1
wee,3,3,6.39,0.17057216232417527,0.24294625500746722,0.13258769236032356,0.18827425524726452,3.14,5.95,8.51,20.0,0.5241659914316631,0
pound,5,5,6.79,0.4702406464942414,0.08475195055854669,0.5381478965104802,0.07890889992141124,4.61,4.62,13.88,31.0,0.54000568260545,0
pint,4,5,8.37,0.4219963896216604,0.12992986650596974,0.6494525548662365,0.06374762911021414,4.43,5.53,3.27,20.0,0.4883953309197103,0
weirdness,9,7,8.61,0.1645614179924159,0.0713641444971515,0.14730774650239845,0.11156016266004778,1.93,4.82,0.94,56.0,0.5615696724282648,1
ark,3,3,7.17,0.06754694335203353,0.08483751484441779,0.09604302687850755,0.08871840661584009,4.67,6.15,3.9,20.0,0.659833860126827,0
emu,3,5,9.0,0.06735066549701138,0.02976815294706617,0.32351522336712624,0.032417221133466186,4.79,5.45,0.43,31.0,0.6804245351986502,0
sequel,6,7,10.22,0.3524185388507262,0.04031278986487334,0.6800513220670561,0.03708378824690485,2.86,5.76,1.76,43.0,0.49786124437455753,0
dart,4,4,7.38,0.4815054040418252,0.1082682223160041,0.49038784074174874,0.09921563837081686,4.9,4.76,1.92,20.0,0.6536988049430134,0
